date,modules,cnt
2020-04-22, DABC-MARKETING-ECOMMERCE,1
2020-04-22, DABC-PYTHON-1,4
2020-04-23, DABC-PYTHON-2,2
2020-04-24, DABC-MARKETING-ECOMMERCE,2
2020-04-24, DABC-WAY,1
2020-04-25, DABC-MARKETING-ECOMMERCE,1
2020-04-26, DABC-EXCEL-FOUNDATIONS-1,1
2020-04-26, DABC-EXCEL-FOUNDATIONS-2,1
2020-04-26, DABC-ORIENTATION,1
2020-04-27, DABC-PYTHON-2,1
2020-04-28, DABC-EXCEL-FOUNDATIONS-1,4
2020-04-28, DABC-PYTHON-2,1
2020-04-28, DABC-PYTHON-3,1
2020-04-29, DABC-EXCEL-FOUNDATIONS-2,4
2020-04-29, DABC-PYTHON-3,2
2020-05-02, DABC-CAREERS-JOBS,1
2020-05-03, DABC-EXCEL-FOUNDATIONS-1,1
2020-05-03, DABC-EXCEL-FOUNDATIONS-2,1
2020-05-03, DABC-EXCEL-FOUNDATIONS-3,1
2020-05-04, DABC-EXCEL-FOUNDATIONS-2,1
2020-05-04, DABC-EXCEL-FOUNDATIONS-3,1
2020-05-04, DABC-SQL-1,1
2020-05-04, tableau,1
2020-05-05, DABC-CAPSTONE-3,1
2020-05-05,matted right]  User-submitted feedback ,1
2020-05-06, DABC-CAPSTONE-1,1
2020-05-06, DABC-STATS-EXCEL,1
2020-05-07, DABC-EXCEL-FOUNDATIONS-2,1
2020-05-07, DABC-PYTHON-1,2
2020-05-07, DABC-TABLEAU-1,1
2020-05-10, DABC-EXCEL-FOUNDATIONS-4,2
2020-05-11, DABC-SQL-2,1
2020-05-11, DABC-TABLEAU-1,1
2020-05-12, DABC-EXCEL-FOUNDATIONS-2,2
2020-05-12, DABC-EXCEL-FOUNDATIONS-4,1
2020-05-12, DABC-SQL-1,3
2020-05-13, DABC-EXCEL-FOUNDATIONS-1,1
2020-05-13, DABC-EXCEL-FOUNDATIONS-4,1
2020-05-13, DABC-SQL-1,1
2020-05-13, DABC-SQL-2,2
2020-05-13, DABC-TABLEAU-1,1
2020-05-14, DABC-SQL-2,1
2020-05-14, DABC-SQL-3,3
2020-05-14, DAI-ORIENTATION,1
